tau,GRASP_Inicial,HillClimbing,VND
1.0,0.0,0.31,0.69
1.0404040404040404,0.0,0.31,0.69
1.0808080808080809,0.0,0.31,0.69
1.121212121212121,0.0,0.31,0.69
1.1616161616161615,0.0,0.31,0.69
1.202020202020202,0.0,0.31,0.69
1.2424242424242424,0.0,0.31,0.69
1.2828282828282829,0.0,0.31,0.69
1.3232323232323233,0.0,0.31,0.69
1.3636363636363638,0.0,0.31,0.69
1.404040404040404,0.0,0.31,0.69
1.4444444444444444,0.0,0.31,0.69
1.4848484848484849,0.0,0.31,0.69
1.5252525252525253,0.0,0.31,0.69
1.5656565656565657,0.0,0.31,0.69
1.606060606060606,0.0,0.31,0.69
1.6464646464646466,0.0,0.31,0.69
1.6868686868686869,0.0,0.31,0.69
1.7272727272727273,0.0,0.31,0.69
1.7676767676767677,0.0,0.31,0.69
1.8080808080808082,0.0,0.31,0.69
1.8484848484848486,0.0,0.31,0.69
1.8888888888888888,0.0,0.31,0.69
1.9292929292929295,0.0,0.31,0.69
1.9696969696969697,0.0,0.31,0.69
2.0101010101010104,0.0,0.31,0.69
2.0505050505050506,0.0,0.31,0.69
2.090909090909091,0.0,0.31,0.69
2.1313131313131315,0.0,0.31,0.69
2.1717171717171717,0.0,0.31,0.69
2.212121212121212,0.0,0.31,0.69
2.2525252525252526,0.0,0.31,0.69
2.2929292929292933,0.0,0.31,0.69
2.3333333333333335,0.0,0.31,0.69
2.3737373737373737,0.0,0.31,0.69
2.4141414141414144,0.0,0.31,0.69
2.4545454545454546,0.0,0.31,0.69
2.494949494949495,0.0,0.31,0.69
2.5353535353535355,0.0,0.31,0.69
2.575757575757576,0.0,0.31,0.69
2.6161616161616164,0.0,0.31,0.69
2.6565656565656566,0.0,0.31,0.69
2.6969696969696972,0.0,0.31,0.69
2.7373737373737375,0.0,0.31,0.69
2.7777777777777777,0.0,0.31,0.69
2.8181818181818183,0.0,0.31,0.69
2.858585858585859,0.0,0.31,0.69
2.8989898989898992,0.0,0.31,0.69
2.9393939393939394,0.0,0.31,0.69
2.97979797979798,0.0,0.31,0.69
3.0202020202020203,0.0,0.31,0.69
3.060606060606061,0.0,0.31,0.69
3.101010101010101,0.0,0.31,0.69
3.1414141414141414,0.0,0.31,0.69
3.181818181818182,0.0,0.31,0.69
3.2222222222222223,0.0,0.31,0.69
3.262626262626263,0.0,0.31,0.69
3.303030303030303,0.0,0.31,0.69
3.3434343434343434,0.0,0.31,0.69
3.383838383838384,0.0,0.31,0.69
3.4242424242424243,0.0,0.31,0.69
3.464646464646465,0.0,0.31,0.69
3.505050505050505,0.0,0.31,0.69
3.545454545454546,0.0,0.31,0.69
3.585858585858586,0.0,0.31,0.69
3.6262626262626263,0.0,0.31,0.69
3.666666666666667,0.0,0.31,0.69
3.707070707070707,0.0,0.31,0.69
3.747474747474748,0.0,0.31,0.69
3.787878787878788,0.0,0.31,0.69
3.8282828282828287,0.0,0.31,0.69
3.868686868686869,0.0,0.31,0.69
3.909090909090909,0.0,0.31,0.69
3.94949494949495,0.0,0.31,0.69
3.98989898989899,0.0,0.31,0.69
4.030303030303031,0.0,0.31,0.69
4.070707070707071,0.0,0.31,0.69
4.111111111111111,0.0,0.31,0.69
4.151515151515152,0.0,0.31,0.69
4.191919191919192,0.0,0.31,0.69
4.232323232323233,0.0,0.31,0.69
4.272727272727273,0.0,0.31,0.69
4.313131313131313,0.0,0.31,0.69
4.353535353535354,0.0,0.31,0.69
4.3939393939393945,0.0,0.31,0.69
4.434343434343434,0.0,0.31,0.69
4.474747474747475,0.0,0.31,0.69
4.515151515151516,0.0,0.31,0.69
4.555555555555555,0.0,0.31,0.69
4.595959595959597,0.0,0.31,0.69
4.636363636363637,0.0,0.31,0.69
4.6767676767676765,0.0,0.31,0.69
4.717171717171718,0.0,0.31,0.69
4.757575757575758,0.0,0.31,0.69
4.7979797979797985,0.0,0.31,0.69
4.838383838383839,0.0,0.31,0.69
4.878787878787879,0.0,0.31,0.69
4.91919191919192,0.0,0.31,0.69
4.95959595959596,0.0,0.31,0.69
5.0,0.0,0.31,0.69
